layer,type,level,polytilesetname,polylayername,pointtilesetname,pointlayername,id,feature_id,wikidata_id,worldview,unit_code,name,name_en,names,description,source_date,iso_3166_1_alpha_3,iso_3166_1,grouping_attributes,join_attributes,parent_1,parent_2,parent_3,parent_4,z_min,area_sqkm,centroid,bounds
pos3,postal,3,mapbox.boundaries-pos3-v3,boundaries_postal_3,mapbox.boundaries-posPoints-v3,points_postal_3,USP347,5318377,,all,47,,,,2-digit postcode area,2018,USA,US,,,,,,,0,68349,"[-87.2731,39.4928]","[-88.0979,37.7717,-84.7846,41.1723]"
pos3,postal,3,mapbox.boundaries-pos3-v3,boundaries_postal_3,mapbox.boundaries-posPoints-v3,points_postal_3,USP348,5252841,,all,48,,,,2-digit postcode area,2018,USA,US,,,,,,,0,67025,"[-83.8977,43.3396]","[-85.4111,41.7275,-82.4183,44.9096]"
pos3,postal,3,mapbox.boundaries-pos3-v3,boundaries_postal_3,mapbox.boundaries-posPoints-v3,points_postal_3,USP349,5121769,,all,49,,,,2-digit postcode area,2018,USA,US,,,,,,,0,145525,"[-85.7419,43.7772]","[-90.4184,41.6951,-83.1912,47.4803]"
pos3,postal,3,mapbox.boundaries-pos3-v3,boundaries_postal_3,mapbox.boundaries-posPoints-v3,points_postal_3,USP350,3090153,,all,50,,,,2-digit postcode area,2018,USA,US,,,,,,,0,90999,"[-93.5715,42.0122]","[-95.2896,40.4858,-91.5427,43.5012]"
pos3,postal,3,mapbox.boundaries-pos3-v3,boundaries_postal_3,mapbox.boundaries-posPoints-v3,points_postal_3,USP351,2959081,,all,51,,,,2-digit postcode area,2018,USA,US,,,,,,,0,47258,"[-95.3582,42.04]","[-96.786,40.5216,-94.4364,43.5227]"
pos3,postal,3,mapbox.boundaries-pos3-v3,boundaries_postal_3,mapbox.boundaries-posPoints-v3,points_postal_3,USP352,2828009,,all,52,,,,2-digit postcode area,2018,USA,US,,,,,,,0,58850,"[-91.43,41.9572]","[-93.2124,40.3754,-90.1401,43.501]"
pos3,postal,3,mapbox.boundaries-pos3-v3,boundaries_postal_3,mapbox.boundaries-posPoints-v3,points_postal_3,USP353,2696937,,all,53,,,,2-digit postcode area,2018,USA,US,,,,,,,0,51018,"[-89.2682,43.3072]","[-91.1767,42.4919,-87.6871,44.1119]"
pos3,postal,3,mapbox.boundaries-pos3-v3,boundaries_postal_3,mapbox.boundaries-posPoints-v3,points_postal_3,USP354,3745513,,all,54,,,,2-digit postcode area,2018,USA,US,,,,,,,0,153328,"[-90.2035,45.0744]","[-92.8894,43.1214,-86.764,47.0807]"
pos3,postal,3,mapbox.boundaries-pos3-v3,boundaries_postal_3,mapbox.boundaries-posPoints-v3,points_postal_3,USP355,3679977,,all,55,,,,2-digit postcode area,2018,USA,US,,,,,,,0,108975,"[-92.8489,46.0428]","[-94.976,43.4923,-88.4224,48.4808]"
pos3,postal,3,mapbox.boundaries-pos3-v3,boundaries_postal_3,mapbox.boundaries-posPoints-v3,points_postal_3,USP356,3614441,,all,56,,,,2-digit postcode area,2018,USA,US,,,,,,,0,207717,"[-94.8273,46.319]","[-97.2391,43.4994,-92.626,49.3831]"
pos3,postal,3,mapbox.boundaries-pos3-v3,boundaries_postal_3,mapbox.boundaries-posPoints-v3,points_postal_3,USP357,3548905,,all,57,,,,2-digit postcode area,2018,USA,US,,,,,,,0,280101,"[-100.2539,44.3733]","[-104.4118,42.4797,-96.3923,46.2055]"
pos3,postal,3,mapbox.boundaries-pos3-v3,boundaries_postal_3,mapbox.boundaries-posPoints-v3,points_postal_3,USP358,3352297,,all,58,,,,2-digit postcode area,2018,USA,US,,,,,,,0,266637,"[-100.2564,47.4434]","[-104.0937,45.8387,-96.4935,49.0007]"
pos3,postal,3,mapbox.boundaries-pos3-v3,boundaries_postal_3,mapbox.boundaries-posPoints-v3,points_postal_3,USP359,3286761,,all,59,,,,2-digit postcode area,2018,USA,US,,,,,,,0,574344,"[-109.3413,46.6682]","[-116.0715,44.2302,-103.6008,49.0011]"
pos3,postal,3,mapbox.boundaries-pos3-v3,boundaries_postal_3,mapbox.boundaries-posPoints-v3,points_postal_3,USP360,1910505,,all,60,,,,2-digit postcode area,2018,USA,US,,,,,,,0,28864,"[-88.0316,41.4098]","[-89.1124,40.3007,-87.5078,42.4979]"
pos3,postal,3,mapbox.boundaries-pos3-v3,boundaries_postal_3,mapbox.boundaries-posPoints-v3,points_postal_3,USP361,1844969,,all,61,,,,2-digit postcode area,2018,USA,US,,,,,,,0,70711,"[-89.7637,40.9389]","[-91.1142,39.3312,-87.5293,42.5085]"
